NTDID,AGENCY,CITY,STATE,UACE,UZA,MPO_AREA,MPO_FIPS,MPO_NAME,AGENCY_NAME
50180,Livingston County Board of Commissioners,HOWELL,MI,83332,"South Lyon-Howell, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments,Southeast Michigan Council of Governments
60134,The Woodlands Township,THE WOODLANDS,TX,87300,"Conroe-The Woodlands, TX",Houston,H-GAC,Houston-Galveston Area Council,The Woodlands Township
60015,City of Galveston ,GALVESTON,TX,32491,"Galveston, TX",Houston,H-GAC,Houston-Galveston Area Council,City of Galveston 
60008,"Metropolitan Transit Authority of Harris County, Texas",HOUSTON,TX,40429,"Houston, TX",Houston,H-GAC,Houston-Galveston Area Council,"Metropolitan Transit Authority of Harris County, Texas"
60008,"Metropolitan Transit Authority of Harris County, Texas ",HOUSTON,TX,40429,"Houston, TX",Houston,H-GAC,Houston-Galveston Area Council,"Metropolitan Transit Authority of Harris County, Texas "
60085,"Houston - VPSI, Inc.",Houston,TX,40429,"Houston, TX",Houston,H-GAC,Houston-Galveston Area Council,"Houston - VPSI, Inc."
60103,"Fort Bend County, Texas",RICHMOND,TX,40429,"Houston, TX",Houston,H-GAC,Houston-Galveston Area Council,"Fort Bend County, Texas"
60108,Harris County,HOUSTON,TX,40429,"Houston, TX",Houston,H-GAC,Houston-Galveston Area Council,Harris County
60082,The Gulf Coast Center,GALVESTON,TX,87220,"Texas City, TX",Houston,H-GAC,Houston-Galveston Area Council,The Gulf Coast Center
90212,Imperial Valley Transit,El Centro,CA,26405,"El Centro-Calexico, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90226,Imperial County Transportation Commission,EL CENTRO,CA,26405,"El Centro-Calexico, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90079,SunLine Transit Agency,THOUSAND PALMS,CA,41347,"Indio-Cathedral City, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90121,Antelope Valley Transit Authority,LANCASTER,CA,67140,"Lancaster-Palmdale, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90008,City of Santa Monica,SANTA MONICA,CA,51445,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90010,City of Torrance,TORRANCE,CA,51445,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90022,City of Norwalk ,NORWALK,CA,51445,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
90023,Long Beach Transit,LONG BEACH,CA,51445,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments,Southern California Association of Governments
